,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
464,15,0.4333333373069763,20 Recombinations,0.8166666626930237
465,16,0.36666667461395264,20 Recombinations,0.8166666626930237
466,17,0.30000001192092896,20 Recombinations,0.7333333492279053
467,18,0.4333333373069763,20 Recombinations,0.8833333253860474
468,19,0.36666667461395264,20 Recombinations,0.800000011920929
469,20,0.30000001192092896,20 Recombinations,0.7333333492279053
470,21,0.23333333432674408,20 Recombinations,0.6000000238418579
471,22,0.2666666805744171,20 Recombinations,0.7333333492279053
472,23,0.46666666865348816,20 Recombinations,0.8166666626930237
473,24,0.4000000059604645,20 Recombinations,0.7333333492279053
474,25,0.23333333432674408,20 Recombinations,0.699999988079071
475,26,0.2666666805744171,20 Recombinations,0.6499999761581421
476,27,0.4333333373069763,20 Recombinations,0.7666666507720947
477,28,0.4000000059604645,20 Recombinations,0.800000011920929
478,29,0.4333333373069763,20 Recombinations,0.8333333134651184
479,30,0.2666666805744171,20 Recombinations,0.6166666746139526
